	class	class id	text_clean_lemma_as_str
31	Компетентность продавцов/ консультантов	1	изменить отношение менеджер договаривать обманывать
32	Компетентность продавцов/ консультантов	1	  стать проверять стол свой товар подойти покупатель менеджер просто вытеснить стол распаковать пылесос весь насадка шланг прочей фигнёй сотрудник убрать стол непонятный коробка которые лежать место хватить весь оказаться простой выжать клиент
33	Компетентность продавцов/ консультантов	1	сотрудник служба сервис менеджер калейдоскоп демонстрировать полный равнодушие проблема клиент общаться вежливый слово очень неприветливый валить интернет магазин некомпетентный сотрудник горячий линия мной никто извиниться весь ответ это ваш право
34	Обслуживание продавцами/ консультантами	6	помимо впереди ещё покупатель пойти зал искать сотрудник обнаружить весь слоняться безделье стойка кредитование желание совершать заказ ваш магазин
35	Компетентность продавцов/ консультантов	1	зае всякий херня навязывать
36	Компетентность продавцов/ консультантов	1	включать чек дополнительный позиция вроде платный подписка нужный проверять чек отходить касса
37	Консультация КЦ	0	указать телефон лист установка находить номер заказ оператор мвидео диктовать именно
38	Консультация КЦ	0	компетентный колцентр
39	Обслуживание продавцами/ консультантами	6	продавец обращать внимание клиент
40	Обслуживание продавцами/ консультантами	6	ужасный сервис зона выдача сотрудник сидеть личный телефон обращать внимание клиент
41	Обслуживание продавцами/ консультантами	6	  сотрудник обращать внимание собраться толпа касса
42	Обслуживание продавцами/ консультантами	6	приходить магазин ощущение вмешиваться чужой жизнь личный пространство поэтому наверно очень долго находишься поиск общение контакт эльдорадо самое вроде видеть замечать никто свой заказ нужный полный отрешённость
43	Обслуживание продавцами/ консультантами	6	сотрудник игнорировать итог равнодушие испортить весь эффект покупка
44	Обслуживание продавцами/ консультантами	6	менеджер игнорировать просьба выдать интернет заказ
45	Обслуживание продавцами/ консультантами	6	сотрудник просто игнорировать стоять касса
46	Обслуживание продавцами/ консультантами	6	отвратительный обслуживание всем наплевать стоить клиент никто ничто спросить
47	Обслуживание продавцами/ консультантами	6	ужасно работник сидеть дело 10 15 подходить просто проходить мимо
48	Вежливость сотрудников магазина	4	хамство угроза сторона продавец м видео отвратительно магазин прийти
49	Вежливость сотрудников магазина	4	отвратительно продавец сказать купить полный г дополнительный 700 800 рубль это супер гарантия вернуть товар полный хамство
50	Вежливость сотрудников магазина	4	сотрудник сеть мвидео полностью потерять клиентоориентированность грубость хамство полный равнодушие клиент выше расти цена выше взлетать хамство надменность сотрудник посещать магазин трц калейдоскоп сходненской трц мена химки
51	Вежливость сотрудников магазина	4	грубость хамство сторона сотрудник выдача заказ
52	Вежливость сотрудников магазина	4	хамство наглость сотрудник высокий уровень
53	Вежливость сотрудников магазина	4	старший продавец андрей громко неприятно требовать документ подтверждать принадлежать приводить аргумент громко нахально мочь угол сделать сказать это крайне пренебрежительно заявлять документ выдавать заказ шок
54	Вежливость сотрудников магазина	4	заказ сделать мама магазин касса неё накричать женщина продавец просьба дать книга жалоба последовать отказ
55	Вежливость сотрудников магазина	4	простоять выдача заказ итог наорать сказать касса
56	Вежливость сотрудников магазина	4	ужасный общение обслуживание среди промоутер промоутер обозвать товар геммороем предлагать купить продукция тефаль
57	Обслуживание продавцами/ консультантами	6	персонал зал проявить полный уважение клиент развернуться пойти далёкий бездельничать остальными консультант просьба оформить заказ быстрый ввиду находиться магазин просто проигнорировать
58	Компетентность продавцов/ консультантов	1	научить персонал компетентность личный неприязнь высокомерие работа минимум отсутствие профессионализм смотреть высокий должность нужный оставаться человек
59	Компетентность продавцов/ консультантов	1	некомпетентность продавец т продавец понимать вообще сказать сегодня первый день нежелание помочь решение вопрос
60	Компетентность продавцов/ консультантов	1	сожаление столкнуться некомпетентность персонал 3 разв стоять очередь каждый окно складываться ощущение сотрудник работать каждый первый день
61	Компетентность продавцов/ консультантов	1	  сотрудник очень довольный хмурый злой
62	Компетентность продавцов/ консультантов	1	нерасторопность продавец время выдача товар незнание ассортимент продавать продукция
63	Компетентность продавцов/ консультантов	1	работа персонал магазин выдачи плохой
64	Компетентность продавцов/ консультантов	1	продавец некомпетентный мочь проконсультировать покупка кронштейн нам необходимый подабрать определённый критегию интерьер квартира однако должный консультация получить удаться
65	Компетентность продавцов/ консультантов	1	продавец обмануть сказать товар установленна финальный цена смочь списать бонус
66	Компетентность продавцов/ консультантов	1	работник показать видимо подтертое технический меню котором наработка тв составить 36 тыс минута понимать обманывать давать ложный информация возможность купить ваш магазин тв малый наработка
67	Доступность персонала в магазине	3	сотрудник выдача
68	Доступность персонала в магазине	3	сотрудник место
69	Доступность персонала в магазине	3	  сотрудник зона выдача заказ
70	Доступность персонала в магазине	3	зал консультант
71	Время ожидания у кассы	7	долго ждать очередь выдача интернет заказ затем сотрудница другая позвать другую касса разгрузить очередь позвать конец очередь ребёнок стоять человек которого позвать вообще подойти неск минута назад
72	Доступность персонала в магазине	3	зайти магазин удивить персонал практически
73	Электронная очередь	2	прийти стойка выдача интернет заказ отстоять очередь конец узнать талон брать заказ получить слово талон понять
74	Обслуживание продавцами/ консультантами	6	мимо ходить сотрудник магазин 0 внимание
75	Обслуживание продавцами/ консультантами	6	просто считать халатный отношение продавец соизволить подойти выйти случайно
76	Электронная очередь	2	взять электронный билет делать экран включить продавец нужный искать приглашать касса поработать
77	Обслуживание продавцами/ консультантами	6	  движение одного сотрудник прийтись найти выпросить выдать купленый оплатить товар
78	Обслуживание продавцами/ консультантами	6	зона выдочи толпа сотрудник это чемони занять кроме болтавни совершенно непонятный
79	Вежливость сотрудников магазина	4	  охранник нахамить хотеть пускать нам лишь нужный получить оплатить товар ехать другова район
80	Вежливость сотрудников магазина	4	нахамить охранник магазин получение заказ
81	Вежливость сотрудников магазина	4	научить свой быдло охранник портить репутация магазин
82	Вежливость сотрудников магазина	4	  найти вход встречать потерять несчастный жизнь охранник который грубый голос тон требовать надеть маска условие отсутствовать подбородок застрять
83	Вежливость сотрудников магазина	4	политика магазин поставить охранник выход который требовать чек говорить никто мочь покинуть магазин общение вызывать ряд вопрос это ещё нарушение действовать законодательство
84	Вежливость сотрудников магазина	4	охрана поражать выход пропищать сигнал смотреться охрана стоять выйти остановиться возле лавочка 2 м вход минута охранник начинать жестикулировать орать минуточка сидеть лавка заниматься свой дело подойти спросить извиниться переступить линия магазин видимо позволять вероисповедание орать жестикулировать находиться напротив пора пока подойти протянуть покупка чек также прийтись объяснить это работа бегать покупатель покупатель сервис отношение покупатель удивлять товар выдача заказ вопрос
85	Компетентность продавцов/ консультантов	1	абсолютный неклиентоориентированность некомпетентность работник сервисный зона
86	Обслуживание продавцами/ консультантами	6	менеджер умный вид смотреть компьютер замечать покупатель итог положить товар место заказать покупка интернет магазин
87	Компетентность продавцов/ консультантов	1	максимальный некомпетентность сотрудник сервисный зона работа клиент
88	Обслуживание продавцами/ консультантами	6	продавец подходить избегать уметь здороваться красиво стоять кучка прийтись ловить продавец который идти пара ключ машина рука которая купить отличие
89	Консультация КЦ	0	претензия кно горячий линия чат это настоящий швах просто 0 смотреть видеть курс перезванивать давать неактуальный сведение
90	Компетентность продавцов/ консультантов	1	работник нули ничто вообще знать 8 10 сотрудник просто грань доходить смешной сотрудник отдел работать год одном место вообще знать свой товар самые элементарный вещь
91	Компетентность продавцов/ консультантов	1	отвратительный салон продавец ничто знать мочь найти сетевой шнур пк скащали антены вайфая комплект входить дичка материнский плата 2 час мочь установить офис ноль одна звёздочка гнать продавец поганый метла зарплата отрабатывать вообще
92	Вежливость сотрудников магазина	4	покупка пройти скандал продавец позволять насмешка отрицательно отзываться товар предлагать аналог 40 дорогой скандал врать директор место другие сотрудник заносить книга жалоба кабинет выйти старший продавец препираться вместо продуктивный решение
93	Компетентность продавцов/ консультантов	1	очень плохой подготовка продавец отношение предвзятый девушка продавец сама знать говорить пытаться обязать установка приложение введение персональный данных списание бонус якобы других вариант вобще наличный прийти потратить час покупка товар который выбрать заранее прийтись консультировать тд это время патрачено впустую некомпетентный работа продавец ситуация разрешить итог понять старший смена неприятный осадок остаться следующий покупка совершить другом магазин скорее сеть
94	Компетентность продавцов/ консультантов	1	чек появиться позиция которая мной добавить заказ просьба связаться
95	Компетентность продавцов/ консультантов	1	давать покупатель честной информация товар чек пробивать лишний товар получить согласие покупатель
96	Компетентность продавцов/ консультантов	1	пробивать чек лишний товар подписка якобы подарок оповещать оплата это разводить
97	Компетентность продавцов/ консультантов	1	отвратительно обман консультант магазин добавление чек согласовать услуга
98	Компетентность продавцов/ консультантов	1	прийти домой заметить чек добавить одна позиция комплект голосовой связь мало оплатить навязать товар который просить ещё дать
99	Компетентность продавцов/ консультантов	1	покупать штука
100	Компетентность продавцов/ консультантов	1	  продавец розничный магазин смочь оформить заказ постоянно навязывать дополнительный услуга покупка итог развернуться заказать интернет магазин
101	Вежливость сотрудников магазина	4	продавец кассир грубо ответить искать код подтверждение возвращаться желание
102	Обслуживание продавцами/ консультантами	6	  обслуживание отвратительно сотрудник обсуждать личный дело спросить работать ответить занять продолжить болтать
103	Время ожидания у кассы	7	1 кассир очередь касса минута 20 25
104	Время ожидания у кассы	7	1 продавец работать 5 смотреть очередь глупость повысить спрос
105	Время ожидания у кассы	7	нужный день смочь получить заказ огромный очередь забрать день
106	Время ожидания у кассы	7	1 человек выдавать интернет заказ бегать стеллаж коробка заказ касса обслуживать очередь десяток человек организация выдача явно хромать
107	Время ожидания у кассы	7	  очередь выдача кассир 5 человек очередь
108	Компетентность продавцов/ консультантов	1	  толстый продавец мочь найти ноутбук витринный образец говорить витрина напряг человек склад искать итог витрина бросить ноутбук стол заказ
109	Время ожидания у кассы	7	25 минута ждать выдача очередь 5 человек 21 00
110	Обслуживание продавцами/ консультантами	6	просто продавец забыть принести товар хотя оплатить
111	Время ожидания у кассы	7	40 минута очередь выдача мной человек одним возникнуть проблема весь очередь человек 6 казаться вынуждена ждать касса выдача одна
112	Время ожидания у кассы	7	абсолютно неорганизованный очередь
113	Время ожидания у кассы	7	безобразный обслуживание магазин очередь выдача 4 человек продавец
114	Время ожидания у кассы	7	больший очередь работать кассир
115	Время ожидания у кассы	7	больший очередь магазин касса крайне медленный обслуживание управляющий стать ничто предпринимать слово работать очень дружелюбный парень
116	Время ожидания у кассы	7	больший очередь выдача интернет заказ
117	Время ожидания у кассы	7	больший очередь выдача интернет заказ работать 2 касса 5
118	Время ожидания у кассы	7	больший очередь касса район касса находиться 4 сотрудник касса работать фактически выдача заказ оплата товар зал осуществлять человек
119	Время ожидания у кассы	7	больший очередь касса просьба позвать второй кассир получить отказ
120	Время ожидания у кассы	7	больший очередь несмотря надпись талон вами 0 человек
121	Время ожидания у кассы	7	огромный очередь получение оплатить онлайн заказ создать стоять очередь пандемия знать огромный очередь заказывать онлайн
122	Время ожидания у кассы	7	очередь одна касса прождать 15 20 минута
123	Время ожидания у кассы	7	очередь 6 человек пока попросить открыть второй касса очередь двигаться
124	Время ожидания у кассы	7	  очередь больший скопиться негатив никто мочь дать ответ
125	Время ожидания у кассы	7	магазин больший очередь 1 кассир который пол час заниматься одним клиент
126	Время ожидания у кассы	7	магазин огромный очередь
127	Время ожидания у кассы	7	магазин касса стоять 25 мина очередь собраться хлеб 90 е
128	Время ожидания у кассы	7	  1 кассир 2 этаж магазин очередь 5 человек интернет заказ выдавать это хороший сервис
129	Время ожидания у кассы	7	магазин ужасный очередь касса работать администратор сидеть касса очередь 20 человек
130	Время ожидания у кассы	7	вечер работать человек выдача касса двое рядом касса сидеть думать помочь уменьшить очередь быстрый обслужить клиент выдача заказ
131	Время ожидания у кассы	7	первый работать одна касса 10 человек очередь
132	Время ожидания у кассы	7	  очередь 4 х человек ждать кассир которые ходить вместе искать необходимый товар одного покупатель
133	Время ожидания у кассы	7	  очередь касса вообще радовать
134	Время ожидания у кассы	7	долго ждать очередь касса
135	Компетентность продавцов/ консультантов	1	недовольный поведение сотрудник магазин умничать
136	Компетентность продавцов/ консультантов	1	  утверждение сотрудник магазин отражаться онлайн оплата карта корректный срок резерв вызывать сомнение компетентность других магазин мвидео никакой проблема получение заказ муж человек издеваться длительный поездка 700 км нога точка продажа трц еропа сити молл
137	Обслуживание продавцами/ консультантами	6	продавец заинтересованный покупатель постоянно телефон отводить взгляд видимо намного интересный весёлый выполнить качественно работа коробка картридж пыльный рваный
138	Компетентность продавцов/ консультантов	1	  сотрудник напевать песенка куча смотреть заказ
139	Компетентность продавцов/ консультантов	1	целый час футболили мочь решить персонал сходить склад коробка слепой второй хромой ещё нелепый отговорки
140	Компетентность продавцов/ консультантов	1	девушка выдача надменный тон заявить мол забирайте
141	Компетентность продавцов/ консультантов	1	  ответ просьба заменить товар чистый сотрудник магазин привести витрина выставить сумка предложить выбрать менее грязный вопрос почему являться покупатель должный копаться куча грязный сумка выбирать менее грязный почему пять сотрудник магазин стоять касса щебетать своём вместо пойти привести порядок товар который отвечать
142	Обслуживание на кассе	5	поменяйте злобный старший кассирша выдача товар
143	Обслуживание на кассе	5	кассир продавец анна гребенюк просто хам увольнять допускать общение клиент покупка негатив магазин нога
144	Обслуживание на кассе	5	продавец кассир самый отвратительный продавец весь настроение испортить магазин желание идти
145	Обслуживание на кассе	5	ужасный сервис сотрудник хамло смеяться лицо вместо помочь коиентоориентированность нуль кассир иванов дмитрий владимирович просить разобраться
146	Обслуживание на кассе	5	кассир крайне приветливый сначала заорать весь зал интернет заказ поздороваться признаться это заказ
147	Обслуживание на кассе	5	осёл несколько минута ожидание кассир которая весь это время сидеть касса сказать очень довольный вид заказ подходить одном ваш магазин обслуживание вызывать номер ещё высказать недовольство сразу подойти
148	Обслуживание на кассе	5	продавец кассир дух это должный отражаться покупатель
149	Обслуживание на кассе	5	почему именно магазин мвидео постоянно крайне довольный кассир причём подавляющее большинство ничто спросить получить ответ губа надрывом вызов
150	Обслуживание на кассе	5	качество обслуживание 0 кассир нагрубить
151	Обслуживание на кассе	5	кассир очень занять оказаться послать искать сотрудник зал выдача заказ
152	Обслуживание на кассе	5	кассир обслуживать касса очень грубо разговаривать останавливаться обслуживание задумываешься выбор магазин покупка оставаться постоянный покупатель
153	Электронная очередь	2	электронный талон получить табло монитор ничто отображаться пока обратиться сотрудник ничто заказ делаться
154	Электронная очередь	2	улучшить логистика самом магазин уменьшить лишний телодвижение клиент сотрудник выдача заказ взять электронный талон тратиться бумага кассир бумажный чек выдача заказ сотрудник здоровый просто подойти сотрудник выдача заказ предъявить номер заказ сразу получить заказ электронный чек автоматически получить имейл
155	Электронная очередь	2	электронный талон получить приложение сотрудник отказаться принимать работа прийтись получать новый талон автомат стоять очередь
156	Электронная очередь	2	  менеджер реагировать электронный талон личный вопрос начаться движение
157	Электронная очередь	2	никто выйти взять электронный талон выдача
158	Электронная очередь	2	  магазин выносить человек товар электронный талон смысл сканировать талон касса
159	Электронная очередь	2	неприятный восталось прийти магазин получить электронный талон котором значиться вами 0 человек табло магазин значиться мной человек никто продавец приглашать обозначить талон
160	Электронная очередь	2	сотрудник выдача долгий время электронный талон написать вами 0 человек ожидание сотрудник принять кроме вопрос видеть электронный талон ответить продолжить принимать прийти
161	Электронная очередь	2	почему должный тратить свой время ожидание притом заранее получить электронный талон выдача заказ
162	Электронная очередь	2	делать получение электронный талон равный пока подойти касса никто выдать товар талон 0 очередь живой очередь хватать
163	Электронная очередь	2	получить электронный талон экран появиться искать сотрудник 30 минута ждать надпись экран остаться неизменный подойти сотрудник сразу вынести вводить электронный талон сотрудник обращать внимание
164	Электронная очередь	2	нажать электронный талон n27 прождать 3 минута реакция ноль
165	Электронная очередь	2	понятный нужный электронный талон оплатить товар также получать живой очередь вводить заблуждение
166	Электронная очередь	2	прийтись тратить время хотя сформировать электронный талон нему никто мной
167	Время ожидания у кассы	7	очередь касса
168	Время ожидания у кассы	7	очень долго кассир бесконечный очередь
169	Время ожидания у кассы	7	огромный очередь период пандемия работать одна касса очень медленно
170	Время ожидания у кассы	7	14 й очередь оплатить заказ одну касса очередь хвост хороший приходить заказ
171	Время ожидания у кассы	7	собраться больший очередь всё очень медленно
172	Время ожидания у кассы	7	касса создать очередь
173	Время ожидания у кассы	7	очередь касса
174	Время ожидания у кассы	7	  постоянно очередь
175	Время ожидания у кассы	7	кассир уйти прямо нами вернуться прийтись вставать новый очередь другому кассир
176	Время ожидания у кассы	7	одна касса работать очередь
177	Время ожидания у кассы	7	очередь касса
178	Время ожидания у кассы	7	долго приходиться ждать очередь покупка товар
